element,material,synthesis_type,size_nm,precursor_conc_mM,capping_agent_pct,pH,temp_C,stirring_time_min,agitation_rpm,surface_area_m2_g,OH_stretch_present,OH_stretch_count,NH_stretch_present,NH_stretch_count,CH_stretch_present,CH_stretch_count,C=O_stretch_present,C=O_stretch_count,C=C_aromatic_present,C=C_aromatic_count,C-O_stretch_present,C-O_stretch_count,Metal_O_bond_present,Metal_O_bond_count,Fingerprint_region_present,Fingerprint_region_count,num_peaks_total,peak_min,peak_max,peak_range,mean_wavenumber,peaks_per_1000,peak_density,max_peak_intensity,catalytic_activity
Fe,Composite,Co-Precipitation,57.074171479385164,111.48948040519736,2.5862591271932174,8.632918496987806,202.7672837953689,164.40803564661027,442.96279146057066,12.06220994576698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,4.628947852300692
Ag,Composite,Co-Precipitation,22.99703256563207,50.98833868908133,0.24739095527069654,9.60732657388284,124.84255195428001,209.5762737829589,1125.5732957856685,33.1107382676299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,17.16534984466378
Cu,Composite,Green_Synthesis,35.406535518251,55.0778781045754,4.4076764900584084,10.064622209291223,217.97020338333567,89.99294341909575,471.452199917561,13.620801629710362,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,19.50092205746776
Fe,Composite,Co-Precipitation,78.92565029807773,76.46791833441111,1.7162484540279621,8.84644328491273,30.603348740183343,121.65035806654271,461.54247310902707,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Au,Carbide,CVD,20.819297931426625,54.78444263363249,4.281686624178537,6.939515629086221,43.786390933341394,288.6230872884669,812.7500455879878,28.8677372259351,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,23.501025735724053
Co,Composite,Co-Precipitation,64.55749155694679,117.73681416430904,3.508281843724219,11.550933799963847,199.67915663522837,167.76892796273776,244.49296385132538,16.339436709781765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,1.693337304966402
Cu,Metal,CVD,66.14748673991262,146.23580467114073,3.830862946485905,9.399177267341397,165.42016626182476,30.462781383148357,1170.0268806998577,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Cu,Composite,Co-Precipitation,95.50120366042546,88.09370580029076,1.5727224726946138,6.839922367615598,150.77955706799162,47.80029517413075,402.52490955984047,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,10.899440979563504
Fe,Carbide,CVD,77.96577099583583,67.45956182246181,1.138719699170276,7.01923599385954,163.14523165117902,174.97838727011043,964.2577152085687,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Pd,Composite,Co-Precipitation,80.75624442106195,34.19334689996436,2.0337027692055742,10.361827649361139,234.29289116998393,49.838853402996605,416.3757850239391,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,24.73521672154528
